Date,VTI,VXUS,BND,VWO,BTC,ETH
12/31/2017,137.25,56.81,81.57,45.91,13624.57,
1/1/2018,137.25,56.81,81.57,45.91,13624.57,
1/2/2018,138.22,57.38,81.34,46.7,14784.6,
1/3/2018,139.02,57.78,81.41,47.15,15055.23,
1/4/2018,139.55,58.26,81.37,47.44,14946.35,
1/5/2018,140.37,58.65,81.26,47.86,16753.24,
1/6/2018,140.37,58.65,81.26,47.86,16753.24,
1/7/2018,140.37,58.65,81.26,47.86,16200,
1/8/2018,140.69,58.62,81.27,47.87,14935.7,
1/9/2018,140.95,58.67,81.03,47.86,14554.08,
1/10/2018,140.73,58.47,81.04,47.65,14494.74,
1/11/2018,141.92,58.84,81.04,47.96,13462.98,
1/12/2018,142.75,59.41,81.03,48.47,13746.58,
1/13/2018,142.75,59.41,81.03,48.47,13746.58,
1/14/2018,142.75,59.41,81.03,48.47,13383.28,
1/15/2018,142.75,59.41,81.03,48.47,13916.82,
1/16/2018,142.12,59.35,81.09,48.23,10720,
1/17/2018,143.43,59.76,81,48.91,11376.69,
1/18/2018,143.18,59.69,80.84,48.99,11605.5,
1/19/2018,143.92,59.96,80.67,49.45,11366.61,
1/20/2018,143.92,59.96,80.67,49.45,11366.61,
1/21/2018,143.92,59.96,80.67,49.45,11366.62,
1/22/2018,145.06,60.29,80.61,49.85,10354,
1/23/2018,145.42,60.53,80.82,50.03,10981.05,
1/24/2018,145.28,60.79,80.73,50.49,11213.37,
1/25/2018,145.34,60.57,80.95,50.31,11256.52,
1/26/2018,146.86,61.17,80.8,50.98,10874.79,
1/27/2018,146.86,61.17,80.8,50.98,10874.79,
1/28/2018,146.86,61.17,80.8,50.98,11755.16,
1/29/2018,145.9,60.54,80.69,50.18,11207,
1/30/2018,144.38,59.97,80.54,49.54,10086.8,
1/31/2018,144.43,60.06,80.56,49.84,9962.31,
2/1/2018,144.37,60.01,80.16,49.37,9094.2,
2/2/2018,141.3,58.7,79.92,48.26,8570,
2/3/2018,141.3,58.7,79.92,48.26,8570,
2/4/2018,141.3,58.7,79.92,48.26,8077.39,
2/5/2018,135.74,56.34,80.27,46.71,7100.87,
2/6/2018,137.96,57.7,80.01,47.87,7764.6,
2/7/2018,137.35,56.66,79.83,46.51,8087.51,
2/8/2018,132.41,55.1,79.77,44.96,8171.19,802.735
2/9/2018,134.23,55.62,79.57,45.64,8552.65,862.248
2/10/2018,134.23,55.62,79.57,45.64,8552.65,862.248
2/11/2018,134.23,55.62,79.57,45.64,8315.1,833.127
2/12/2018,136.02,56.4,79.59,46.27,8831.25,868.978
2/13/2018,136.45,56.4,79.66,46.63,8557.91,839.233
2/14/2018,138.36,57.41,79.4,47.59,9287.96,904.71
2/15/2018,140.05,57.92,79.48,48.48,9873.45,917.993
2/16/2018,140.11,58,79.65,48.3,10088.2,936.643
2/17/2018,140.11,58,79.65,48.3,10088.2,936.643
2/18/2018,140.11,58,79.65,48.3,10784.81,930.048
2/19/2018,140.11,58,79.65,48.3,11081.41,935.933
2/20/2018,139.27,57.37,79.57,47.87,11705.73,914.718
2/21/2018,138.62,57.23,79.27,47.81,10286.84,824.37
2/22/2018,138.71,57.49,79.37,47.87,9915.69,807.343
2/23/2018,140.86,58.12,79.58,48.65,9920.01,831.158
2/24/2018,140.86,58.12,79.58,48.65,9920.01,831.158
2/25/2018,140.86,58.12,79.58,48.65,9596.64,840.22
2/26/2018,142.34,58.56,79.62,49.11,10380.3,866.373
2/27/2018,140.55,57.56,79.45,47.79,10755.9,880.763
2/28/2018,139,56.91,79.55,47.17,10538.02,865.213
3/1/2018,137.35,56.32,79.52,47.16,10933.75,871.145
3/2/2018,138.24,56.48,79.37,47.28,11029.95,856.848
3/3/2018,138.24,56.48,79.37,47.28,11029.95,856.848
3/4/2018,138.24,56.48,79.37,47.28,11400.19,863.248
3/5/2018,139.8,56.71,79.32,47.42,11555.99,854.703
3/6/2018,140.31,57.14,79.35,47.56,10790.35,816.68
3/7/2018,140.43,57.08,79.33,47.55,9939.53,749.58
3/8/2018,140.96,57.2,79.42,47.58,9330.23,701.123
3/9/2018,143.3,57.74,79.32,48.43,9004.84,698.115
3/10/2018,143.3,57.74,79.32,48.43,9004.84,698.115
3/11/2018,143.3,57.74,79.32,48.43,9613.95,723.955
3/12/2018,143.22,57.84,79.4,48.6,9017.65,691.693
3/13/2018,142.33,57.43,79.42,48.13,9062.92,680.353
3/14/2018,141.61,57.58,79.59,48.19,8304.32,614.965
3/15/2018,141.42,57.5,79.6,48,8251.71,604.575
3/16/2018,141.66,57.39,79.53,47.85,8524.17,613.788
3/17/2018,141.66,57.39,79.53,47.85,8524.17,613.788
3/18/2018,141.66,57.39,79.53,47.85,7655.03,506.32
3/19/2018,139.84,56.89,79.47,47.4,8427.2,541.355
3/20/2018,140.05,57.07,79.37,47.81,8920.33,558.723
3/21/2018,139.93,57.23,79.37,48.07,8895.59,559.755
3/22/2018,135.95,55.99,79.5,46.55,8598.85,527.775
3/23/2018,133.1,55.35,79.52,45.87,8616.25,524.353
3/24/2018,133.1,55.35,79.52,45.87,8616.25,524.353
3/25/2018,133.1,55.35,79.52,45.87,8605.14,526.525
3/26/2018,136.61,56.34,79.47,47.16,7888.84,474.265
3/27/2018,134.19,55.73,79.74,46.46,7990.87,458.812
3/28/2018,133.88,55.92,79.73,46.14,7906.96,446.268
3/29/2018,135.72,56.55,79.93,46.98,7098.14,385.78
3/30/2018,135.72,56.55,79.93,46.98,6852.51,385.035
3/31/2018,135.72,56.55,79.93,46.98,6852.51,385.035
4/1/2018,135.72,56.55,79.93,46.98,6890.64,381.625
4/2/2018,132.63,55.67,79.72,46.29,6937.38,377.895
4/3/2018,134.28,56.19,79.63,46.74,7401.4,414.233
4/4/2018,135.79,56.28,79.63,46.89,6830.76,381.382
4/5/2018,136.74,56.65,79.52,46.99,6749.55,377.495
4/6/2018,133.87,56.06,79.72,46.16,6604.48,369.04
4/7/2018,133.87,56.06,79.72,46.16,6604.48,369.04
4/8/2018,133.87,56.06,79.72,46.16,6955.33,397.285
4/9/2018,134.32,56.48,79.8,46.12,6662.14,390.105
4/10/2018,136.5,57.15,79.66,46.98,6839.62,411.143
4/11/2018,135.87,56.98,79.72,47.04,6891.03,420.37
4/12/2018,136.97,57.14,79.57,47.03,7730.47,467.227
4/13/2018,136.58,57.05,79.63,46.54,7903.91,493.88
4/14/2018,136.58,57.05,79.63,46.54,7903.91,493.88
4/15/2018,136.58,57.05,79.63,46.54,8287.52,524.66
4/16/2018,137.72,57.16,79.64,46.58,7986.06,502.323
4/17/2018,139.17,57.41,79.67,46.62,7914.7,503.36
4/18/2018,139.36,57.74,79.41,46.95,8187.53,522.613
4/19/2018,138.6,57.49,79.22,46.69,8233.85,554.16
4/20/2018,137.5,57.13,79.02,46.14,8524.52,592.853
4/21/2018,137.5,57.13,79.02,46.14,8524.52,592.853
4/22/2018,137.5,57.13,79.02,46.14,8893.04,639.998
4/23/2018,137.45,56.96,78.98,45.83,8932.25,639.468
4/24/2018,135.8,56.72,78.84,45.62,9449.88,706.067
4/25/2018,135.95,56.54,78.73,45.28,9073.19,636.36
4/26/2018,137.24,56.95,78.89,45.75,9118.96,647.95
4/27/2018,137.33,57.09,79.01,45.99,8977.07,648.905
4/28/2018,137.33,57.09,79.01,45.99,8977.07,648.905
4/29/2018,137.33,57.09,79.01,45.99,9295.78,679.445
4/30/2018,136.33,56.81,79.05,45.68,9272.7,671.695
5/1/2018,136.54,56.68,78.75,45.42,9015.73,663.98
5/2/2018,135.75,56.53,78.76,45.12,9175.76,681.52
5/3/2018,135.38,56.65,78.83,44.98,9652.04,754.415
5/4/2018,137.13,56.82,78.88,45.2,9683.54,785.055
5/5/2018,137.13,56.82,78.88,45.2,9683.54,785.055
5/6/2018,137.13,56.82,78.88,45.2,9514.36,775.045
5/7/2018,137.73,56.73,78.84,45.08,9437.62,760.215
5/8/2018,137.78,56.88,78.78,45.31,9160.97,739.5
5/9/2018,139.08,56.94,78.69,45.37,9248.19,743.985
5/10/2018,140.29,57.53,78.85,46.27,9092.67,737.19
5/11/2018,140.57,57.6,78.93,46.11,8432.01,673.65
5/12/2018,140.57,57.6,78.93,46.11,8432.01,673.65
5/13/2018,140.57,57.6,78.93,46.11,8714.52,736.335
5/14/2018,140.64,57.66,78.83,46.25,8811.66,736.46
5/15/2018,139.79,57.12,78.46,45.37,8518.76,712.225
5/16/2018,140.47,57.4,78.4,46.01,8291.23,694.83
5/17/2018,140.51,57.27,78.33,45.37,8204.05,686.725
5/18/2018,140.2,57.02,78.54,44.95,8229.58,687.29
5/19/2018,140.2,57.02,78.54,44.95,8229.58,687.29
5/20/2018,140.2,57.02,78.54,44.95,8554.55,719.21
5/21/2018,141.25,57.4,78.54,45.24,8406.89,697.815
5/22/2018,140.73,57.38,78.56,45.42,8108.52,654.325
5/23/2018,141.1,56.89,78.8,45.22,7590,586.5
5/24/2018,140.87,56.69,78.96,45.06,7552.45,590.745
5/25/2018,140.6,56.48,79.13,45.17,7448.08,583.19
5/26/2018,140.6,56.48,79.13,45.17,7448.08,583.19
5/27/2018,140.6,56.48,79.13,45.17,7314.74,560.375
5/28/2018,140.6,56.48,79.13,45.17,7214.8,524.185
5/29/2018,139.21,55.37,79.68,44.17,7501.54,568.82
5/30/2018,141.01,56.09,79.44,44.56,7337.26,548.56
5/31/2018,140.04,55.88,79.41,44.61,7538.28,580.225
6/1/2018,141.5,56.39,79.09,45.11,7437.74,565.715
6/2/2018,141.5,56.39,79.09,45.11,7437.74,565.715
6/3/2018,141.5,56.39,79.09,45.11,7724.98,620.82
6/4/2018,142.16,56.6,78.92,45.58,7525.77,596.885
6/5/2018,142.37,56.48,78.99,45.18,7629.53,608.015
6/6/2018,143.63,57.06,78.77,45.83,7619.32,604.405
6/7/2018,143.42,56.61,78.97,45.13,7660.06,602.215
6/8/2018,143.91,56.69,78.87,45.1,7646.28,598.725
